acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.12,0.93,0.44,17.3,-2.43,13.44,32.44
0.13,0.89,0.42,15.08,-0.9,12.82,32.39
0.14,0.9,0.42,12.84,0.34,11.07,32.39
0.14,0.9,0.42,8.78,0.63,8.09,32.34
0.15,0.88,0.41,7.05,-0.34,7.71,32.39
0.14,0.88,0.39,8.0,-1.11,8.15,32.29
0.14,0.89,0.41,7.39,-1.07,7.33,32.44
0.14,0.89,0.41,6.08,-1.79,6.6,32.29
0.13,0.89,0.41,5.11,-1.69,6.69,32.39
0.14,0.9,0.4,3.42,-1.57,5.25,32.34
0.14,0.89,0.4,1.39,-1.8,3.05,32.39
0.15,0.89,0.41,0.72,-2.08,2.26,32.39
0.15,0.88,0.41,0.43,-2.02,2.84,32.34
0.15,0.89,0.41,1.27,-2.15,3.82,32.39
0.15,0.89,0.4,1.11,-1.85,3.33,32.44
0.16,0.89,0.4,-0.56,-1.76,1.86,32.39
0.16,0.88,0.41,-1.53,-1.94,2.23,32.39
0.15,0.89,0.4,-1.15,-1.68,2.11,32.34
0.16,0.88,0.4,-0.37,-1.51,2.92,32.34
0.15,0.88,0.41,-0.49,-1.22,3.05,32.39
0.17,0.89,0.4,-1.01,-0.84,2.63,32.34
0.16,0.88,0.4,-0.75,-0.81,2.96,32.39
0.16,0.89,0.39,-1.19,-1.3,1.89,32.29
0.16,0.88,0.39,-1.63,-1.24,1.86,32.44
0.16,0.88,0.4,-1.6,-1.21,1.68,32.34
0.16,0.88,0.39,-0.82,-1.1,2.46,32.39
0.16,0.88,0.39,-1.5,-0.52,1.92,32.44
0.15,0.88,0.4,-1.42,-0.09,1.95,32.39
0.16,0.88,0.39,-1.27,-0.41,1.94,32.29
0.16,0.89,0.4,-1.39,-0.89,1.24,32.34
0.16,0.88,0.4,-1.54,-0.76,0.99,32.39
0.16,0.87,0.39,-0.98,-0.78,1.22,32.39
0.15,0.88,0.4,-0.53,-0.69,1.42,32.44
0.16,0.89,0.4,-1.18,-0.87,0.84,32.29
0.15,0.89,0.41,-2.64,-1.5,-0.29,32.39
0.15,0.89,0.39,-3.28,-1.21,-0.21,32.34
0.16,0.88,0.39,-2.95,-0.5,-0.09,32.29
0.16,0.88,0.4,-2.31,-0.38,0.24,32.39
0.16,0.88,0.4,-2.06,-1.15,0.31,32.44
0.15,0.88,0.4,-2.34,-1.02,0.4,32.39
0.16,0.88,0.4,-2.23,-0.64,0.29,32.29
0.16,0.88,0.4,-2.35,-0.41,0.14,32.34
0.16,0.88,0.4,-1.79,-0.87,0.35,32.48
0.16,0.89,0.39,-1.44,-0.84,0.63,32.34
