acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.1,0.94,0.32,-8.12,-7.98,2.72,32.34
0.12,0.98,0.3,-13.74,-3.28,-5.19,32.34
0.08,0.91,0.29,-8.9,-6.66,0.44,32.25
0.08,0.89,0.31,-3.98,-7.24,4.63,32.34
0.1,0.9,0.29,0.03,-6.24,4.37,32.29
0.09,0.89,0.29,2.31,-8.67,7.68,32.29
0.09,0.95,0.32,-1.71,-10.72,6.89,32.44
0.11,0.98,0.31,-7.37,-9.76,2.12,32.39
0.12,0.97,0.28,-8.64,-8.46,0.17,32.25
0.1,0.92,0.29,-4.76,-10.03,3.07,32.34
0.08,0.87,0.29,0.61,-12.32,6.73,32.39
0.07,0.82,0.31,8.14,-15.04,12.72,32.39
0.06,0.76,0.27,21.8,-22.96,25.28,32.34
0.08,0.72,0.27,38.49,-33.21,42.84,32.39
0.16,0.94,0.3,30.03,-32.7,35.74,32.44
0.14,0.9,0.26,21.44,-37.21,30.29,32.34
0.14,0.84,0.28,27.15,-39.76,42.44,32.39
0.14,0.81,0.3,40.61,-40.81,58.72,32.29
0.12,0.83,0.26,54.46,-41.07,71.16,32.25
0.15,0.93,0.23,59.94,-40.37,72.26,32.39
0.2,1.04,0.23,51.11,-37.01,60.35,32.34
0.25,1.07,0.26,38.02,-31.42,49.56,32.34
0.29,1.1,0.25,21.4,-27.51,40.09,32.39
0.32,1.07,0.27,7.59,-25.33,29.59,32.25
0.32,1.01,0.3,4.29,-21.3,24.41,32.44
0.26,0.94,0.26,12.47,-16.12,24.34,32.39
0.24,0.92,0.22,24.47,-10.84,26.56,32.34
0.25,0.92,0.18,32.5,-4.81,23.27,32.25
0.24,0.96,0.17,30.43,-1.36,19.77,32.29
0.25,0.98,0.14,18.32,-0.9,14.79,32.44
0.29,0.95,0.14,6.4,-3.79,12.0,32.39
0.26,0.94,0.18,-3.13,-6.34,10.89,32.29
0.26,0.95,0.2,-8.41,-7.62,10.85,32.44
0.25,0.94,0.21,-7.27,-7.02,10.67,32.39
0.26,0.92,0.21,-2.81,-4.26,9.53,32.39
0.28,0.93,0.19,2.26,-0.78,7.79,32.44
0.27,0.93,0.21,6.56,-0.72,8.49,32.39
0.26,0.93,0.23,8.05,-0.44,9.18,32.39
0.26,0.93,0.19,8.41,-1.83,10.21,32.25
0.27,0.91,0.18,7.02,-2.6,10.29,32.29
0.27,0.91,0.2,4.67,-2.55,9.86,32.34
0.29,0.91,0.18,2.27,-2.58,8.47,32.34
0.3,0.9,0.2,1.95,-2.55,7.68,32.29
0.26,0.93,0.21,3.19,-4.21,10.12,32.34
0.25,0.94,0.22,4.75,-4.35,12.0,32.34
0.27,0.93,0.16,9.36,-4.17,14.06,32.29
0.27,0.94,0.16,11.62,-3.91,15.5,32.34
0.29,0.92,0.16,12.21,-3.04,15.3,32.34
0.32,0.91,0.18,11.53,-1.89,14.78,32.39
0.33,0.9,0.2,9.62,-0.73,14.26,32.34
0.33,0.9,0.2,9.27,-1.16,13.94,32.2
0.3,0.91,0.18,9.77,-1.31,13.04,32.34
0.31,0.91,0.16,11.34,0.31,11.63,32.34
0.33,0.89,0.15,14.15,1.47,10.63,32.39
0.33,0.9,0.19,15.33,3.28,8.98,32.29
0.33,0.87,0.18,16.89,4.06,8.08,32.44
0.34,0.88,0.16,16.79,5.13,4.93,32.29
0.37,0.88,0.14,14.75,6.93,-0.58,32.44
0.37,0.9,0.12,11.45,9.94,-7.66,32.34
0.36,0.92,0.1,5.15,13.71,-16.02,32.29
0.33,0.95,0.09,-1.94,14.95,-20.5,32.34
0.28,0.99,0.11,-11.05,15.33,-21.92,32.34
0.25,1.05,0.16,-23.63,15.25,-28.75,32.29
0.19,1.07,0.19,-30.44,12.24,-28.53,32.34
0.17,1.02,0.19,-29.85,7.63,-23.76,32.34
0.2,1.06,0.16,-32.23,6.69,-26.61,32.2
0.22,1.0,0.13,-29.97,4.34,-25.21,32.34
0.24,0.95,0.17,-28.52,4.03,-24.61,32.39
0.28,0.97,0.16,-35.07,5.79,-31.4,32.39
0.32,1.01,0.18,-47.37,8.69,-40.87,32.34
0.24,0.99,0.23,-55.71,6.0,-43.66,32.39
0.19,0.95,0.25,-53.95,4.89,-41.25,32.39
0.2,0.91,0.23,-42.14,5.05,-35.08,32.44
0.19,0.88,0.19,-28.89,4.67,-27.3,32.39
0.21,0.92,0.21,-22.64,5.82,-22.47,32.29
0.23,1.03,0.23,-33.97,11.22,-30.73,32.25
0.21,0.93,0.27,-37.39,6.03,-27.89,32.29
0.2,0.93,0.3,-40.47,7.83,-27.6,32.39
0.21,0.92,0.26,-37.54,6.23,-28.4,32.34
0.19,0.88,0.26,-28.55,3.76,-24.73,32.39
0.19,0.93,0.31,-24.27,7.86,-23.92,32.34
0.21,0.96,0.28,-25.74,11.45,-28.34,32.25
0.19,0.91,0.3,-22.69,11.02,-27.47,32.39
0.19,0.92,0.31,-20.95,14.17,-24.55,32.34
0.2,0.87,0.27,-16.75,12.69,-22.98,32.34
0.19,0.88,0.29,-16.0,13.57,-22.98,32.29
0.17,0.87,0.3,-13.77,11.48,-18.24,32.44
0.18,0.93,0.29,-18.32,12.58,-20.66,32.34
0.16,0.91,0.29,-20.64,9.01,-19.27,32.39
0.14,0.9,0.29,-22.27,7.4,-16.81,32.34
0.16,0.91,0.28,-22.29,7.4,-17.22,32.34
0.15,0.9,0.28,-20.12,6.89,-15.76,32.39
0.14,0.91,0.29,-18.15,8.05,-14.2,32.34
0.14,0.92,0.3,-16.75,8.78,-13.5,32.34
0.12,0.9,0.3,-15.62,7.22,-12.09,32.34
0.12,0.9,0.31,-14.12,5.16,-11.11,32.34
0.13,0.91,0.3,-14.44,5.39,-11.37,32.39
0.12,0.88,0.3,-14.58,3.94,-10.09,32.39
0.11,0.89,0.32,-14.85,2.47,-8.08,32.25
0.13,0.93,0.33,-17.36,2.67,-11.34,32.39
0.11,0.88,0.32,-14.87,-0.46,-9.11,32.25
0.13,0.9,0.33,-13.36,0.37,-7.66,32.25
0.11,0.85,0.33,-8.2,-1.95,-3.85,32.2
0.09,0.86,0.33,-4.66,-3.66,-1.57,32.34
0.1,0.86,0.32,-0.84,-6.84,1.91,32.34
0.11,0.87,0.32,1.3,-9.8,4.2,32.29
0.1,0.87,0.32,3.44,-13.89,7.79,32.34
0.1,0.87,0.33,5.39,-18.26,11.59,32.34
0.1,0.83,0.31,10.89,-23.94,19.22,32.29
0.1,0.82,0.31,17.19,-28.69,28.08,32.44
0.12,0.84,0.31,22.14,-31.71,34.15,32.44
0.12,0.88,0.33,24.29,-32.11,38.31,32.39
0.15,0.94,0.32,21.28,-30.49,36.67,32.25
0.2,1.02,0.32,11.77,-26.23,29.5,32.29
0.24,1.05,0.32,-0.47,-19.51,16.47,32.39
0.25,1.01,0.32,-5.98,-12.78,9.8,32.25
0.24,0.95,0.32,-4.69,-6.78,5.47,32.29
0.24,0.91,0.3,1.59,-1.28,5.04,32.39
0.21,0.9,0.31,7.45,3.83,5.05,32.25
0.18,0.88,0.29,12.03,5.8,9.05,32.39
0.16,0.9,0.28,11.02,4.34,10.69,32.39
0.16,0.92,0.27,6.66,1.92,9.28,32.34
0.17,0.92,0.28,1.42,-0.6,8.55,32.29
0.18,0.93,0.3,-3.6,-2.93,7.13,32.34
0.17,0.91,0.31,-4.24,-3.86,8.02,32.25
0.18,0.94,0.32,-0.18,-1.76,7.83,32.29
0.2,0.96,0.32,3.89,2.69,4.66,32.15
0.18,0.92,0.31,11.44,4.78,6.37,32.34
0.18,0.91,0.3,18.2,6.32,10.24,32.2
0.18,0.94,0.3,19.11,6.69,10.69,32.34
0.17,0.95,0.29,13.62,5.42,7.25,32.34
0.18,0.95,0.28,7.83,2.9,5.05,32.34
0.18,0.95,0.28,2.64,0.53,2.75,32.34
0.18,0.93,0.28,0.89,-0.67,2.02,32.39
0.18,0.93,0.29,1.79,0.09,1.04,32.39
0.18,0.93,0.28,2.64,2.5,-1.53,32.34
0.18,0.89,0.29,9.51,3.45,1.82,32.29
0.18,0.9,0.29,16.31,3.45,5.86,32.34
0.2,0.91,0.29,17.53,2.58,7.68,32.34
0.2,0.92,0.26,14.9,1.13,7.5,32.29
0.2,0.94,0.27,10.99,0.98,7.05,32.34
0.19,0.95,0.27,6.49,0.18,4.85,32.34
0.19,0.92,0.26,4.9,-1.77,4.89,32.29
0.19,0.91,0.26,6.47,-2.72,6.08,32.34
0.2,0.93,0.26,6.85,-1.88,5.77,32.25
0.2,0.94,0.27,5.25,-1.1,3.1,32.29
0.2,0.93,0.25,4.66,-0.14,2.61,32.25
0.2,0.93,0.26,3.94,-0.69,2.41,32.34
0.2,0.94,0.26,3.37,-0.53,2.14,32.29
0.2,0.93,0.26,2.31,-0.18,0.4,32.44
0.21,0.91,0.24,3.45,-0.09,1.5,32.34
0.21,0.91,0.25,4.43,0.49,2.85,32.29
0.21,0.92,0.25,3.97,0.6,3.73,32.25
0.21,0.94,0.25,2.47,0.02,2.29,32.25
0.2,0.93,0.27,1.53,0.55,1.91,32.39
0.2,0.93,0.26,1.19,-0.06,1.34,32.34
0.2,0.93,0.25,2.11,0.79,1.65,32.2
0.2,0.93,0.26,3.86,0.82,1.95,32.39
0.2,0.93,0.25,4.17,0.53,1.79,32.34
0.2,0.93,0.26,3.28,0.18,1.33,32.29
0.2,0.93,0.25,1.33,0.4,0.56,32.29
0.2,0.93,0.25,0.32,0.32,-0.09,32.25
0.2,0.93,0.24,0.69,-0.18,-0.05,32.39
0.2,0.93,0.24,-0.37,-1.08,-0.43,32.29
0.2,0.93,0.25,-0.67,-0.69,-0.55,32.34
0.19,0.93,0.25,-0.5,0.34,-0.32,32.2
0.2,0.92,0.27,0.46,1.16,0.08,32.25
0.2,0.91,0.25,1.86,1.07,0.85,32.34
0.2,0.92,0.26,2.61,0.32,1.04,32.29
0.2,0.93,0.25,2.96,-0.24,0.58,32.34
0.2,0.93,0.25,3.59,-0.15,0.29,32.25
0.2,0.93,0.25,4.0,0.21,0.79,32.2
0.2,0.94,0.25,3.47,-0.11,1.42,32.34
0.21,0.95,0.24,0.76,-0.43,0.64,32.34
0.2,0.94,0.24,-1.22,-0.75,-1.08,32.25
0.2,0.92,0.24,-0.6,-1.45,-0.72,32.34
0.19,0.92,0.24,0.47,-1.65,0.34,32.29
0.2,0.93,0.25,0.03,-1.59,0.47,32.29
0.2,0.94,0.25,-0.53,-1.3,-0.03,32.25
0.2,0.93,0.25,-0.11,-1.02,-0.03,32.39
